,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
18166,"mismatch date of birth : 
customer            : 14/06/1998
watchlistperson : 23/05/1998",2,mismatch date birth customer watchlistperson,"['mismatch', 'date', 'birth', 'customer', 'watchlistperson']","[(2, 1), (5, 1), (12, 1), (17, 1), (2460, 1)]","[(2, 0.020030168539872613), (5, 0.1747919275310403), (12, 0.24917242769801107), (17, 0.01345397419498838), (2460, 0.9522492668790498)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.041025184), (1, 0.04052837), (2, 0.040489227), (3, 0.043287423), (4, 0.098425694), (5, 0.040559568), (6, 0.04056491), (7, 0.04049594), (8, 0.0405621), (9, 0.040488817), (10, 0.04051056), (11, 0.040488843), (12, 0.04049784), (13, 0.04048925), (14, 0.040543634), (15, 0.040489096), (16, 0.04054958), (17, 0.040534012), (18, 0.16898093), (19, 0.040489044)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch date of birth   customer              watchlistperson  ,-1
18207,"match - name, nric, date of birth

customer
name  : omes a/p chandra sekaran
nric  : 940607055252
date of birth : 07/06/1994

watch person
name  : omes a/p chandra sekaran
nric  : 940607055252
date of birth : 07/06/1994",2,match name nric date birth customer name omes ap chandra sekaran nric date birth watch person name omes ap chandra sekaran nric date birth,"['match', 'name', 'nric', 'date', 'birth', 'customer', 'name', 'ome', 'ap', 'chandra', 'sekaran', 'nric', 'date', 'birth', 'watch', 'person', 'name', 'ome', 'ap', 'chandra', 'sekaran', 'nric', 'date', 'birth']","[(3, 3), (5, 3), (9, 3), (12, 3), (14, 1), (17, 1), (32, 1), (61, 1), (4625, 2), (6851, 2), (6852, 2), (6853, 2)]","[(3, 0.1483613966530311), (5, 0.10219826004176184), (9, 0.12725389722484926), (12, 0.14568744060904215), (14, 0.05665978843376664), (17, 0.002622113375593203), (32, 0.011349785058147259), (61, 0.02376186542265593), (4625, 0.36342075799766876), (6851, 0.4296253014060494), (6852, 0.5678269779270941), (6853, 0.5358501209579717)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.039668918), (1, 0.04075053), (2, 0.041100167), (3, 0.039627284), (4, 0.09911229), (5, 0.03818325), (6, 0.037816778), (7, 0.040407564), (8, 0.038190886), (9, 0.039125394), (10, 0.038115732), (11, 0.039124645), (12, 0.03992595), (13, 0.041265797), (14, 0.03805928), (15, 0.040470876), (16, 0.038837306), (17, 0.066200204), (18, 0.16367885), (19, 0.04033826)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",match name nric date of birth  customer name   omes ap chandra sekaran nric    date of birth    watch person name   omes ap chandra sekaran nric    date of birth  ,0
18756,"true hit - non material . match name & profile - both customer and watch list linked to the minsheng banking corp ltd . 
minsheng banking corp ltd is a listed company in the non- high risk stock exchange - shanghai stock exchange . http://english.sse.com.cn/markets/indices/data/list/constituents/index.shtml?company_code=000001&index_code=000001

as per aml policy ( maybank ) - companies that are publicly listed in non high risk stock exchange need not be tagged as pec. the corporate governance of the company helps ensure that the shareholders / directors / senior executive are not able to make any decision unilaterally , and do not have sole authority to make decisions for the company . ( page 61 ) ",2,non material  match name profile customer watch list linked minsheng banking corp ltd  minsheng banking corp ltd listed company non high risk stock exchange shanghai stock exchange  codeindex code per aml policy bank companies publicly listed non high risk stock exchange need tagged pec  corporate governance company helps ensure shareholders directors senior executive able make ision unilaterally sole authority make isions company  page,"['non', 'material', 'match', 'name', 'profile', 'customer', 'watch', 'list', 'link', 'minsheng_banking_corp', 'ltd', 'minsheng_banking_corp', 'ltd', 'list', 'company', 'non', 'high', 'risk', 'stock_exchange', 'shanghai', 'stock_exchange', 'codeindex', 'code', 'per', 'aml', 'policy', 'bank', 'company', 'publicly', 'list', 'non', 'high', 'risk', 'stock_exchange', 'need', 'tag', 'pec', 'corporate_governance', 'company', 'help', 'ensure', 'shareholder', 'director', 'senior', 'executive', 'able', 'make', 'ision', 'unilaterally', 'sole', 'authority', 'make', 'ision', 'company', 'page']","[(9, 1), (14, 1), (15, 1), (17, 1), (19, 2), (49, 1), (61, 1), (86, 1), (92, 3), (99, 1), (131, 1), (190, 2), (210, 1), (214, 1), (221, 3), (255, 1), (264, 1), (295, 2), (348, 1), (411, 2), (430, 1), (467, 1), (539, 1), (599, 1), (701, 4), (1060, 1), (1162, 2), (1733, 1), (1763, 1), (2971, 1), (4258, 1), (7002, 1), (7010, 1), (7011, 1), (7012, 2), (7013, 1), (7014, 1), (7015, 1), (7016, 3), (7017, 1)]","[(9, 0.031045876817593233), (14, 0.04146952314829658), (15, 0.0385281507641008), (17, 0.0019191351456197398), (19, 0.11483090515951054), (49, 0.02039352659463554), (61, 0.017391403240826237), (86, 0.09829538741655658), (92, 0.16022595718862973), (99, 0.01841637377941403), (131, 0.0655951496729936), (190, 0.2985748697896497), (210, 0.038718838126584464), (214, 0.06056676203273992), (221, 0.1752615856598202), (255, 0.15215573987751954), (264, 0.052020085490568226), (295, 0.21329410314082592), (348, 0.08714267590764779), (411, 0.1043034782313011), (430, 0.058952689975202484), (467, 0.1482639452499749), (539, 0.11266858375916716), (599, 0.11391970483551501), (701, 0.2810453316546475), (1060, 0.0881420887403672), (1162, 0.11359251368086662), (1733, 0.12601585859241438), (1763, 0.06264808368257378), (2971, 0.10046171316046532), (4258, 0.15037700058775794), (7002, 0.16449488153532205), (7010, 0.19609541095498656), (7011, 0.16449488153532205), (7012, 0.35509637851496817), (7013, 0.16584619524244365), (7014, 0.13536411502786275), (7015, 0.15722222827021998), (7016, 0.4478623046844745), (7017, 0.18439341693994615)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.027724413), (1, 0.029357858), (2, 0.02784274), (3, 0.027732668), (4, 0.027809525), (5, 0.027868249), (6, 0.04427157), (7, 0.039098315), (8, 0.038233515), (9, 0.03287834), (10, 0.053743053), (11, 0.027834283), (12, 0.054031484), (13, 0.049110934), (14, 0.16812868), (15, 0.029126065), (16, 0.037837666), (17, 0.043921653), (18, 0.1856967), (19, 0.027752258)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']", non material . match name  profile both customer and watch list linked to the minsheng banking corp ltd .  minsheng banking corp ltd is a listed company in the non high risk stock exchange shanghai stock exchange .  codeindex code  as per aml policy  bank  companies that are publicly listed in non high risk stock exchange need not be tagged as pec. the corporate governance of the company helps ensure that the shareholders  directors  senior executive are not able to make any ision unilaterally  and do not have sole authority to make isions for the company .  page   ,0
18898,thnm due to cp holds position in a bank that is wholly owned by a listed entity in bursa malaysia. (bct),2,thnm due cp holds po bank thats wholly owned listed entity bursa malaysia  bct,"['thnm', 'due', 'cp_holds', 'po', 'bank', 'that', 's', 'wholly_owne', 'list', 'entity', 'bursa', 'malaysia', 'bct']","[(15, 1), (92, 1), (142, 1), (356, 1), (571, 1), (668, 1), (1499, 1), (1766, 1), (2860, 1), (4378, 1), (4898, 1), (7070, 1), (7071, 1)]","[(15, 0.08867887049858993), (92, 0.12292879038878626), (142, 0.06697404487205409), (356, 0.1098981527981839), (571, 0.24220627866345493), (668, 0.1557602476677092), (1499, 0.2900462073382915), (1766, 0.2846286934979233), (2860, 0.3034279003330605), (4378, 0.31607304618842713), (4898, 0.3705436267977365), (7070, 0.47827987587844306), (7071, 0.39290091849780606)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.033382338), (1, 0.035444662), (2, 0.033673078), (3, 0.033216443), (4, 0.033190653), (5, 0.035551194), (6, 0.048774693), (7, 0.035142004), (8, 0.042235885), (9, 0.036528703), (10, 0.0368012), (11, 0.033368073), (12, 0.08028428), (13, 0.07265859), (14, 0.040397327), (15, 0.03362379), (16, 0.033594813), (17, 0.033354163), (18, 0.23522836), (19, 0.0335497)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",thnm due to cp holds po on in a bank that is wholly owned by a listed entity in bursa malaysia. bct,0
19002,"mismatch spouse’s name.
kim kyung mi and choi hun young are join account (410013145302) and share the same address at lot no.30, shangri-la height, off jln kepayan kota kinabalu. 
",2,mismatch spouses name  kim kyung mi choi hun young join account share address lot  shangri la height jln kepayan kota kinabalu ,"['mismatch', 'spouse', 'name', 'kim', 'kyung', 'mi', 'choi', 'hun', 'young', 'join', 'account', 'share', 'address', 'lot', 'shangri', 'la', 'height', 'jln', 'kepayan', 'kota_kinabalu']","[(2, 1), (9, 1), (115, 1), (133, 1), (418, 1), (755, 1), (916, 1), (1509, 1), (2661, 1), (3842, 1), (4920, 1), (5671, 1), (6195, 1), (6719, 1), (7112, 1), (7113, 1), (7114, 1), (7115, 1), (7116, 1), (7117, 1)]","[(2, 0.00478107423529924), (9, 0.05195051352752648), (115, 0.04437023068946247), (133, 0.09515802682790804), (418, 0.10891952547069614), (755, 0.19625993152771565), (916, 0.1602878876814544), (1509, 0.21294466653863853), (2661, 0.2073192572011698), (3842, 0.29274488969289775), (4920, 0.1974795506438213), (5671, 0.2856452264690618), (6195, 0.22322673279699978), (6719, 0.2225459740283901), (7112, 0.29274488969289775), (7113, 0.31668115749962344), (7114, 0.32813559621321203), (7115, 0.2489403238381837), (7116, 0.2556754643030105), (7117, 0.30855410389623905)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.03212287), (1, 0.10089833), (2, 0.033468623), (3, 0.031686477), (4, 0.03161516), (5, 0.10414459), (6, 0.031482052), (7, 0.03285393), (8, 0.031626828), (9, 0.06637006), (10, 0.03150635), (11, 0.03207247), (12, 0.032382123), (13, 0.033348173), (14, 0.032554597), (15, 0.06432002), (16, 0.05100849), (17, 0.033177163), (18, 0.10402956), (19, 0.08933217)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch spouses name. kim kyung mi and choi hun young are join account  and share the same address at lot no. shangri la height off jln kepayan kota kinabalu.  ,0
19114,"mismatch profile
watchperson: sanctions history
eu ( - apr 2006). ukhmt ( - jun 2006). may 2000 - eu visa ban. apr 2006 - no longer appears on france, germany, luxembourg and spain sanctions lists. jun 2006 - no longer appears on isle of man sanctions list. aug 2006 - no longer appears on switzerland sanctions list.

customer: in 2006, customer was 14 years old. based on circumstances evidence, this is a false hit and highly unlikely that it is the same person.
",2,mismatch profile watchperson sanctions history eu  ukhmt  eu visa ban  longer appears france germany luxembourg spain sanctions lists  longer appears isle man sanctions list  longer appears switzerland sanctions list  customer customer years old  based circumstances evidence highly unlikely person ,"['mismatch', 'profile', 'watchperson', 'sanctions_history_eu', 'ukhmt', 'eu', 'visa', 'ban', 'longer_appears', 'france_germany_luxembourg_spain', 'sanctions_lists', 'longer_appears', 'isle_man', 'sanction', 'list', 'longer_appears_switzerland_sanction', 'list', 'customer', 'customer', 'year', 'old', 'base', 'circumstance', 'evidence', 'highly', 'unlikely', 'person']","[(2, 1), (6, 1), (17, 2), (22, 1), (29, 1), (32, 1), (34, 1), (74, 1), (92, 2), (99, 1), (252, 1), (787, 1), (1221, 1), (1852, 1), (3156, 1), (4459, 1), (5645, 1), (5646, 1), (5647, 1), (5649, 2), (7105, 1), (7181, 1), (7182, 1), (7183, 1)]","[(2, 0.004551723971844468), (6, 0.03537735069794321), (17, 0.006114654176573889), (22, 0.01442979797834002), (29, 0.037644920199931015), (32, 0.013233602188028127), (34, 0.027369581949482313), (74, 0.04248867944288702), (92, 0.17016802604290174), (99, 0.02933867297065084), (252, 0.079287213079073), (787, 0.08788675106845673), (1221, 0.09873759743796842), (1852, 0.19437282374105339), (3156, 0.11365282550530888), (4459, 0.2011796837492596), (5645, 0.25330053815880954), (5646, 0.2828476617356258), (5647, 0.2751104665183099), (5649, 0.5502209330366198), (7105, 0.2642055023385597), (7181, 0.3014898211326919), (7182, 0.293752625915376), (7183, 0.2828476617356258)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.03439328), (1, 0.04641722), (2, 0.036216676), (3, 0.05193607), (4, 0.033914126), (5, 0.059294842), (6, 0.038739085), (7, 0.035488993), (8, 0.06069522), (9, 0.0344502), (10, 0.034984265), (11, 0.03427305), (12, 0.04787425), (13, 0.03663193), (14, 0.03429738), (15, 0.03561519), (16, 0.034331642), (17, 0.03423861), (18, 0.24065259), (19, 0.035555385)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch profile watchperson sanctions history eu   . ukhmt   .   eu visa ban.   no longer appears on france germany luxembourg and spain sanctions lists.   no longer appears on isle of man sanctions list.   no longer appears on switzerland sanctions list.  customer in  customer was  years old. based on circumstances evidence this is a  and highly unlikely that it is the same person. ,0
19215,"false hit-mismatch id number _ nric - customer nric is 530920105648  

maklumat peribadi pemilih
nama penuh	lim kwee lian
no. kad pengenalan	530920105648 / 4500719
tarikh lahir	20 september 1953
jantina	perempuan

https://mysprsemak.spr.gov.my/semakan/daftarpemilihpapar",2,mismatch id number nric customer nric maklumat peribadi pemilih nama penuh lim kwee lian  kad pengenalan tarikh lahir tina perempuan,"['mismatch', 'i', 'd', 'number', 'nric', 'customer', 'nric', 'maklumat_peribadi_pemilih_nama', 'penuh', 'lim', 'kwee', 'lian', 'kad_pengenalan', 'tarikh_lahir', 'tina_perempuan']","[(0, 1), (1, 1), (2, 1), (3, 2), (4, 1), (17, 1), (658, 1), (3577, 1), (3578, 1), (3580, 1), (3850, 1), (4910, 1), (4911, 1), (7214, 1)]","[(0, 0.0966409783590647), (1, 0.09668081963779558), (2, 0.0061515883058363115), (3, 0.15585883925709557), (4, 0.07989520652978378), (17, 0.004131932797278419), (658, 0.23772388882304785), (3577, 0.32499666941882105), (3578, 0.36023256920933894), (3580, 0.35706986815918196), (3850, 0.31614146170552476), (4910, 0.35706986815918196), (4911, 0.38226447364314714), (7214, 0.3970023730717303)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.03466239), (1, 0.06637559), (2, 0.03537243), (3, 0.034334373), (4, 0.0873028), (5, 0.034216348), (6, 0.034037195), (7, 0.03512633), (8, 0.03420736), (9, 0.034623772), (10, 0.034169104), (11, 0.03461601), (12, 0.034730814), (13, 0.035429638), (14, 0.034134578), (15, 0.07778926), (16, 0.034510702), (17, 0.034590766), (18, 0.21471155), (19, 0.035059035)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']", mismatch id number nric customer nric is     maklumat peribadi pemilih nama penuh	lim kwee lian no. kad pengenalan	   tarikh lahir	   tina	perempuan  ,0
19519,"thnm due to his former position in elp companies i.e. paynet, maybank and its related companies. currently he serves as board member of bursa malaysia and celcom digi which are also elp (bct)",2,thnm due former po elp companies ie  paynet bank related companies  currently serves board member bursa malaysia celcom digi also elp bct,"['thnm', 'due', 'former', 'po', 'elp_companie', 'ie', 'paynet', 'bank', 'relate', 'company', 'currently', 'serve', 'board', 'member', 'bursa', 'malaysia', 'celcom', 'digi', 'also', 'elp', 'bct']","[(15, 1), (30, 1), (72, 1), (129, 1), (142, 1), (159, 1), (164, 1), (349, 1), (356, 1), (371, 1), (668, 1), (701, 1), (1499, 1), (1694, 1), (1766, 1), (2860, 1), (5114, 1), (7292, 1), (7293, 1), (7294, 1), (7295, 1)]","[(15, 0.07308452065453658), (30, 0.18238346316954143), (72, 0.14632473615265706), (129, 0.10776677787108532), (142, 0.05519653033748697), (159, 0.1307733992992081), (164, 0.061346703479038596), (349, 0.20666799565244157), (356, 0.09057235137204415), (371, 0.08883328762058859), (668, 0.12836950869832556), (701, 0.13327958219392202), (1499, 0.23904102422371776), (1694, 0.15181681996432425), (1766, 0.2345761906062336), (2860, 0.2500695207818061), (5114, 0.30344134769971), (7292, 0.314595677220159), (7293, 0.37197578466582376), (7294, 0.3589909885097091), (7295, 0.3941734403105988)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.031157132), (1, 0.051314995), (2, 0.031604636), (3, 0.030911298), (4, 0.03087409), (5, 0.068897545), (6, 0.07014827), (7, 0.031791013), (8, 0.033769373), (9, 0.062931046), (10, 0.031285457), (11, 0.03113744), (12, 0.0387953), (13, 0.031652454), (14, 0.07772966), (15, 0.03160625), (16, 0.03116804), (17, 0.03112605), (18, 0.22045062), (19, 0.031649355)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",thnm due to his former po on in elp companies i.e. paynet bank and its related companies. currently he serves as board member of bursa malaysia and celcom digi which are also elp bct,0
19554,"match - name, nric, date of birth

customer
name  : sumathy a/p muthiah
nric  : 730524105626
date of birth : 24/05/1973

watch person
name  : sumathy a/p muthiah
nric  : 730524105626
date of birth : 24/05/1973",2,match name nric date birth customer name sumathy ap muthiah nric date birth watch person name sumathy ap muthiah nric date birth,"['match', 'name', 'nric', 'date', 'birth', 'customer', 'name', 'sumathy', 'ap', 'muthiah', 'nric', 'date', 'birth', 'watch', 'person', 'name', 'sumathy', 'ap', 'muthiah', 'nric', 'date', 'birth']","[(3, 3), (5, 3), (9, 3), (12, 3), (14, 1), (17, 1), (32, 1), (61, 1), (4625, 2), (7301, 2), (7302, 2)]","[(3, 0.16085296313749475), (5, 0.11080303452291451), (9, 0.13796827814503473), (12, 0.157953868341421), (14, 0.061430365754976964), (17, 0.0028428871368272354), (32, 0.012305401531412118), (61, 0.025762540318000546), (4625, 0.39401965139430417), (7301, 0.6156362369827815), (7302, 0.6156362369827815)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.040142056), (1, 0.04132254), (2, 0.04125964), (3, 0.04025123), (4, 0.10506784), (5, 0.038814522), (6, 0.03848652), (7, 0.040690403), (8, 0.03881304), (9, 0.039608903), (10, 0.038744394), (11, 0.039615322), (12, 0.040385004), (13, 0.041400407), (14, 0.038699817), (15, 0.040741622), (16, 0.039367974), (17, 0.06862409), (18, 0.1474207), (19, 0.040543977)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",match name nric date of birth  customer name   sumathy ap muthiah nric    date of birth    watch person name   sumathy ap muthiah nric    date of birth  ,0
19584,"mismatch full legal name_name structure. confirmed watchperosn name in https://www.bursamalaysia.com/about_bursa/media_centre/i-public-reprimand-on-nasioncom-holdings-berhad-nscom-or-the-company-breach-of-rules-9-dot-22-1-9-dot-23-1-and-9-dot-24-of-bursa-malaysia-securities-berhads-listing-requirements-for-the-mesdaq-market-mmlr-and-ii-public-reprimand-and-fine-on-directo-1
",2,mismatch full name structure  confirmed watchperosn name bursamedia centrei public reprimand nasioncom holdings berhad nscom company breach rules dot dot dot bursa malaysia securities berhads listing requirements mesdaq ket mmlr ii public reprimand fine directo,"['mismatch', 'full', 'name', 'structure', 'confirm', 'watchperosn', 'name', 'bursamedia', 'centrei', 'public', 'reprimand', 'nasioncom', 'holding', 'berhad', 'nscom', 'company', 'breach', 'rule', 'dot', 'dot', 'dot', 'bursa', 'malaysia', 'security', 'berhad', 'listing_requirements', 'mesdaq', 'ket', 'mmlr', 'ii', 'public', 'reprimand', 'fine', 'directo']","[(2, 1), (8, 1), (9, 2), (54, 1), (102, 1), (142, 1), (201, 2), (538, 1), (701, 1), (713, 2), (834, 1), (987, 1), (1074, 1), (1740, 1), (2860, 1), (2973, 1), (4075, 2), (4755, 1), (7311, 1), (7312, 1), (7313, 1), (7314, 3), (7315, 1), (7316, 1), (7317, 1), (7318, 1), (7319, 1), (7320, 1)]","[(2, 0.0030489894495998714), (8, 0.047365221760375206), (9, 0.06625982356737443), (54, 0.07828543248170346), (102, 0.07321429306981694), (142, 0.031051378856922846), (201, 0.14009985972197975), (538, 0.096626497855282), (701, 0.0749778070340985), (713, 0.13161464053734234), (834, 0.08302841538062902), (987, 0.06599019017673007), (1074, 0.11953754420982114), (1740, 0.11892884833184042), (2860, 0.1406791945596509), (2973, 0.15484380292251165), (4075, 0.3055415004350007), (4755, 0.12779570881735994), (7311, 0.20925882378181238), (7312, 0.2217463444818826), (7313, 0.2217463444818826), (7314, 0.5782536579987062), (7315, 0.20925882378181238), (7316, 0.2217463444818826), (7317, 0.2217463444818826), (7318, 0.20925882378181238), (7319, 0.2217463444818826), (7320, 0.15574477486564325)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.03308742), (1, 0.06346066), (2, 0.03527369), (3, 0.03218478), (4, 0.03204235), (5, 0.032541875), (6, 0.050607335), (7, 0.03443694), (8, 0.032567076), (9, 0.032985665), (10, 0.057163008), (11, 0.032990713), (12, 0.05163522), (13, 0.0356937), (14, 0.073014125), (15, 0.057327915), (16, 0.032677855), (17, 0.03945641), (18, 0.17714378), (19, 0.06370951)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch full name name structure. confirmed watchperosn name in  bursamedia centrei public reprimand on nasioncom holdings berhad nscom or the company breach of rules  dot    dot   and  dot  of bursa malaysia securities berhads listing requirements for the mesdaq ket mmlr and ii public reprimand and fine on directo  ,0
19893,"match - name, nric, date of birth

customer
name  : christina anak francis
nric  : 751203135632
date of birth : 03/12/1975

watch person 
name  : christina anak francis
nric  : 751203135632
date of birth : 03/12/1975",2,match name nric date birth customer name christina anak francis nric date birth watch person name christina anak francis nric date birth,"['match', 'name', 'nric', 'date', 'birth', 'customer', 'name', 'christina', 'anak', 'francis', 'nric', 'date', 'birth', 'watch', 'person', 'name', 'christina', 'anak', 'francis', 'nric', 'date', 'birth']","[(3, 3), (5, 3), (9, 3), (12, 3), (14, 1), (17, 1), (32, 1), (61, 1), (3459, 2), (7421, 2), (7422, 2)]","[(3, 0.16372596867490266), (5, 0.11278209493645396), (9, 0.1404325387925585), (12, 0.16077509295269532), (14, 0.06252757762808483), (17, 0.0028936641341981125), (32, 0.012525189131529594), (61, 0.026222686774413927), (3459, 0.4096171897536084), (7421, 0.5913437194419621), (7422, 0.6266321570042773)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.039978042), (1, 0.041156795), (2, 0.041036464), (3, 0.04010823), (4, 0.10577934), (5, 0.038687147), (6, 0.03836775), (7, 0.04049211), (8, 0.03868434), (9, 0.039454564), (10, 0.03861723), (11, 0.03946026), (12, 0.040217243), (13, 0.04116119), (14, 0.038574833), (15, 0.040538542), (16, 0.039221372), (17, 0.068800315), (18, 0.14931117), (19, 0.040353056)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",match name nric date of birth  customer name   christina anak francis nric    date of birth    watch person  name   christina anak francis nric    date of birth  ,0
20420,"agree to maker is decision
match name, id number_military no and date of birth (dob)",2,agree makers ision match name id number military date birth dob,"['agree_maker', 'ision', 'match', 'name', 'i', 'd', 'number', 'military', 'date', 'birth', 'dob']","[(0, 1), (1, 1), (4, 1), (5, 1), (9, 1), (12, 1), (13, 1), (14, 1), (189, 1), (190, 1), (3144, 1)]","[(0, 0.16576232661917673), (1, 0.1658306639142875), (4, 0.13703933408963034), (5, 0.09207644571622543), (9, 0.11465054840673358), (12, 0.13125841586043338), (13, 0.16284264822621816), (14, 0.153144444882408), (189, 0.6460641073119631), (190, 0.5513094824632844), (3144, 0.34070477801392696)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.058345098), (1, 0.037642), (2, 0.036857385), (3, 0.036471736), (4, 0.12291218), (5, 0.03591886), (6, 0.07449219), (7, 0.037868213), (8, 0.035899363), (9, 0.03625291), (10, 0.035877578), (11, 0.036250837), (12, 0.036998037), (13, 0.036910444), (14, 0.035855472), (15, 0.03668064), (16, 0.03614792), (17, 0.069575354), (18, 0.12643126), (19, 0.036612518)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",agree to maker is ision match name id number military no and date of birth dob,0
