,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
78099,"mismatch biography – analyst’s justification 

watchperson sein bo (pep) (father) born 15-mar-1947
customer born 1964, it is unlikely his father maried at age 17y/o (underage)",1,mismatch biography analysts justification watchperson sein bo pep father born customer born unlikely father ied age yo underage,"['mismatch', 'biography', 'analysts_justification', 'watchperson', 'sein', 'bo', 'pep', 'father', 'bear', 'customer', 'bear', 'unlikely', 'father', 'ie', 'age', 'yo', 'underage']","[(2, 1), (17, 1), (22, 1), (30, 1), (34, 1), (67, 1), (147, 2), (193, 2), (490, 1), (724, 1), (2286, 1), (4813, 1), (12473, 1), (15975, 1), (19402, 1)]","[(2, 0.007726282578497051), (17, 0.005189632140506627), (22, 0.024493729721071496), (30, 0.25999753803305187), (34, 0.0464582486778832), (67, 0.11180470049611453), (147, 0.2681238295148445), (193, 0.27875576666206164), (490, 0.14194010722647285), (724, 0.1647831071657775), (2286, 0.1974198092497058), (4813, 0.3871282618128766), (12473, 0.4567966853624465), (15975, 0.3996048105302641), (19402, 0.4036958377174564)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.033356935), (1, 0.08988236), (2, 0.03358435), (3, 0.07028093), (4, 0.033398673), (5, 0.051144972), (6, 0.039563973), (7, 0.033504482), (8, 0.037834845), (9, 0.033993144), (10, 0.033294756), (11, 0.051252313), (12, 0.033598058), (13, 0.11362907), (14, 0.047875937), (15, 0.033613235), (16, 0.08173917), (17, 0.03333411), (18, 0.08162891), (19, 0.033489764)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch biography  analysts justification   watchperson sein bo pep father born    customer born  it is unlikely his father ied at age yo underage,-1
79014,"based on the statement for debit card 4159390101232821 as at jan 2020, the card had been inactive since 2018. if the customer require an account then he/she need to open of new account with the bank, and to go through the opening account process according to the bank is policies and procedures that complies to the amla requirements. among others,  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. ",1,based statement debit card card inactive since  customer require account heshe need open new account bank go opening account process according banks policies procedures complies amla requirements  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking ,"['base', 'statement', 'debit', 'card', 'card', 'inactive', 'since', 'customer', 'require', 'account', 'heshe', 'need', 'open', 'new', 'account', 'bank', 'go', 'opening', 'account', 'process', 'accord', 'bank', 'policies_procedure', 'comply', 'amla', 'requirement', 'among_others', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking']","[(15, 2), (17, 2), (74, 1), (101, 1), (115, 3), (183, 1), (192, 1), (575, 2), (613, 2), (616, 1), (619, 1), (689, 1), (690, 1), (691, 1), (692, 1), (793, 1), (1149, 1), (1404, 1), (1763, 1), (2270, 1), (3033, 1), (4076, 1), (4967, 1), (4968, 1), (4969, 1), (4970, 1), (5371, 1), (23230, 1)]","[(15, 0.11873880794012513), (17, 0.005914527817909527), (74, 0.04109806855046093), (101, 0.10620446755734929), (115, 0.12257772331107646), (183, 0.06003703704478659), (192, 0.07604439297025391), (575, 0.2811025973124143), (613, 0.3642188350884517), (616, 0.16910532139876783), (619, 0.060976749422767935), (689, 0.12622496637441155), (690, 0.18109901066991205), (691, 0.18122318611694418), (692, 0.18012638498660422), (793, 0.19002624930361642), (1149, 0.1732460367952813), (1404, 0.14318239374205005), (1763, 0.09653667031345291), (2270, 0.19768539793094692), (3033, 0.2085874008681289), (4076, 0.1958749488523565), (4967, 0.2916223685613247), (4968, 0.2735903479178235), (4969, 0.26958016318532646), (4970, 0.2217578614444531), (5371, 0.16608466775498432), (23230, 0.253476039705952)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.028506748), (1, 0.056186832), (2, 0.028698346), (3, 0.031387955), (4, 0.028407678), (5, 0.09272065), (6, 0.041305684), (7, 0.14802758), (8, 0.03175601), (9, 0.02905499), (10, 0.028718712), (11, 0.028488392), (12, 0.030466024), (13, 0.22447646), (14, 0.02870648), (15, 0.028637508), (16, 0.028512461), (17, 0.028505938), (18, 0.028739411), (19, 0.028696166)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",based on the statement for debit card  as at   the card had been inactive since . if the customer require an account then heshe need to open of new account with the bank and to go through the opening account process according to the bank is policies and procedures that complies to the amla requirements. among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. ,0
79165,"customer created in host on 07/09/2015. customer is information incomplete in host and no casa with us. if customer wish to  maintain same gcif number,  branch has to comply to process of activation act mal/bkgops/admin/123/1 issued on 27/08/2020 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.",1,customer created host  customers information incomplete host casa us  customer wish maintain gcif number branch comply process activation act malbkgopsadmin issued  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  name unique identifier conclusive evidence justify individual ,"['customer', 'create', 'host', 'customer', 'information', 'incomplete', 'host', 'casa_u', 'customer', 'wish_maintain_gcif', 'number', 'branch_comply_process', 'activation', 'act', 'malbkgopsadmin', 'issue', 'among_other', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'name', 'unique_identifier_conclusive', 'evidence', 'justify', 'individual']","[(4, 1), (9, 1), (17, 4), (20, 1), (91, 1), (181, 1), (216, 2), (575, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (695, 1), (782, 1), (783, 1), (784, 1), (787, 1), (788, 1), (789, 1), (791, 1), (793, 1), (795, 1), (796, 1), (1762, 1), (2873, 1), (2874, 1)]","[(4, 0.06935674989065435), (9, 0.058025598734092854), (17, 0.014347665750335057), (20, 0.12732480017729764), (91, 0.08574441599508284), (181, 0.09370482219871727), (216, 0.1862820585876498), (575, 0.170477096057309), (687, 0.22088365575024535), (688, 0.2201121335283825), (689, 0.15310044036004242), (690, 0.21965811581275468), (691, 0.21980873035572976), (692, 0.21847840133393898), (695, 0.22026493618458914), (782, 0.12064341619583446), (783, 0.22487469691871412), (784, 0.23577654757638083), (787, 0.10311046968478399), (788, 0.13668807873431396), (789, 0.23407052740795434), (791, 0.23454862271867868), (793, 0.23048611763582663), (795, 0.23479041460560915), (796, 0.24093409463922183), (1762, 0.1732859230853152), (2873, 0.25523804759196245), (2874, 0.24639348716204687)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.027443744), (1, 0.028615376), (2, 0.027408438), (3, 0.027564574), (4, 0.037815437), (5, 0.038554233), (6, 0.027851913), (7, 0.02984881), (8, 0.03804607), (9, 0.027406793), (10, 0.028321432), (11, 0.02740661), (12, 0.030805236), (13, 0.43000883), (14, 0.027835164), (15, 0.027408026), (16, 0.03003815), (17, 0.031563524), (18, 0.027408758), (19, 0.028648902)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",customer created in host on . customer is information incomplete in host and no casa with us. if customer wish to  maintain same gcif number  branch has to comply to process of activation act malbkgopsadmin issued on  . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.,0
79436,"account was dormant since  2018. to activate dormant account branch has to comply to process of activation dormant act mal/bkgops/admin/123/1 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. 
no unique identifier provided in refinitive for further assessment on wp biodata. other than common name there is no unique identifier to justify that watch person(s) are the same individual.           ",1,account dormant since  activate dormant account branch comply process activation dormant act malbkgopsadmin  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  common name unique identifier justify watch persons individual ,"['account', 'dormant', 'since', 'activate_dormant', 'account', 'branch_comply_process', 'activation_dormant', 'act_malbkgopsadmin_among', 'others_stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'common', 'name', 'unique_identifier_justify', 'watch', 'person', 'individual']","[(9, 1), (17, 1), (20, 1), (32, 1), (61, 1), (75, 1), (115, 2), (181, 1), (575, 1), (619, 1), (641, 1), (684, 1), (685, 1), (686, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (693, 1), (694, 1), (695, 1)]","[(9, 0.06556565597837102), (17, 0.004053013399267217), (20, 0.14386984758564147), (32, 0.017543417972560735), (61, 0.03672883096743337), (75, 0.18457368368003876), (115, 0.11199747927514934), (181, 0.10588116744732061), (575, 0.19262950966704878), (619, 0.08357035085907798), (641, 0.24590024074108727), (684, 0.29227782614081776), (685, 0.2812976144727616), (686, 0.2800316629927359), (687, 0.24958608097319673), (688, 0.24871430434905298), (689, 0.1729948681578319), (690, 0.24820128992093213), (691, 0.24837147586516164), (692, 0.24686827905403544), (693, 0.29227782614081776), (694, 0.2868653516178761), (695, 0.24888696273790195)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.029763533), (1, 0.03031304), (2, 0.029164888), (3, 0.030122938), (4, 0.031470746), (5, 0.036882725), (6, 0.03166878), (7, 0.03079894), (8, 0.031913232), (9, 0.029163422), (10, 0.029203625), (11, 0.029163286), (12, 0.059518974), (13, 0.38710967), (14, 0.029629225), (15, 0.029164486), (16, 0.033095066), (17, 0.033523936), (18, 0.029165195), (19, 0.029164283)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",account was dormant since  . to activate dormant account branch has to comply to process of activation dormant act malbkgopsadmin . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking.  no unique identifier provided in refinitive for further assessment on wp biodata. other than common name there is no unique identifier to justify that watch persons are the same individual.           ,0
80336,"mismatch profile - watchperson is son  is born on    11-aug-1986 and customer was born on 17/07/1984. it is unlikely for having a child with 2 years of age gap. based on circumstances evidence, this is a false hit.
",1,mismatch profile watchpersons son born customer born  unlikely child years age gap  based circumstances evidence,"['mismatch', 'profile', 'watchperson', 'son', 'bear', 'customer', 'bear', 'unlikely', 'child', 'year', 'age', 'gap', 'base', 'circumstance', 'evidence']","[(2, 1), (6, 1), (17, 1), (22, 1), (34, 1), (74, 1), (99, 1), (132, 1), (193, 2), (490, 1), (787, 1), (1002, 1), (1221, 1), (6760, 1)]","[(2, 0.01276697598808989), (6, 0.09922872952681527), (17, 0.00857539292042772), (22, 0.04047365030085572), (34, 0.07676801091510455), (74, 0.11917505401654935), (99, 0.08229104744832273), (132, 0.2600322753893803), (193, 0.46061843368514427), (490, 0.23454305771195202), (787, 0.24651056336079613), (1002, 0.484067884079712), (1221, 0.27694573383838367), (6760, 0.5048034141976392)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.033698298), (1, 0.03400822), (2, 0.033685967), (3, 0.109122105), (4, 0.03387995), (5, 0.10951647), (6, 0.034456484), (7, 0.033687565), (8, 0.03500513), (9, 0.03379842), (10, 0.03382261), (11, 0.060017332), (12, 0.035030764), (13, 0.14535515), (14, 0.034327827), (15, 0.033685688), (16, 0.06549168), (17, 0.03378293), (18, 0.033686142), (19, 0.033941273)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch profile watchperson is son  is born on       and customer was born on . it is unlikely for having a child with  years of age gap. based on circumstances evidence this is a  ,0
81684,"mismatch year of birth :
customer is yob is on 1977 while watchperson yob is 1977 as checked under external link stated in a online news article in year 2008 she was 31 years old as such born in year 1977.as such , both are not same person.

watchperson is external source link :
https://www.thestar.com.my/news/community/2008/04/07/passion-for-politics-aside-family-still-comes-first-for-wong",1,mismatch year birth customers yob watchperson yob checked external link online news article year years old born year as person  watchpersons external link politics aside family still comes first wong,"['mismatch', 'year', 'birth', 'customer', 'yob', 'watchperson', 'yob', 'check', 'external', 'link', 'online', 'news', 'article', 'year', 'year', 'old', 'bear', 'year', 'as', 'person', 'watchperson', 'external', 'link', 'politic', 'aside', 'family', 'still', 'come', 'first', 'wong']","[(2, 1), (5, 1), (6, 4), (7, 2), (17, 1), (22, 2), (32, 1), (47, 1), (193, 1), (252, 1), (257, 1), (264, 2), (335, 1), (415, 1), (484, 1), (810, 2), (909, 1), (1057, 1), (2156, 1), (2575, 1), (3710, 1), (4851, 1), (28639, 1)]","[(2, 0.006462445940710006), (5, 0.056394102740237505), (6, 0.20091219751038936), (7, 0.14066812045683524), (17, 0.00434073136977073), (22, 0.040974272582087634), (32, 0.018788801621100516), (47, 0.06394574961787755), (193, 0.1165789663018752), (252, 0.11257038684299481), (257, 0.12233523881233435), (264, 0.2353197662628873), (335, 0.2438846469929182), (415, 0.17467286164238124), (484, 0.14440650598700192), (810, 0.43291305097413835), (909, 0.2706607680628689), (1057, 0.1398619333011792), (2156, 0.24776024303101485), (2575, 0.26168863979929635), (3710, 0.2033950396293256), (4851, 0.33211700853756065), (28639, 0.4015814084354522)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.031099653), (1, 0.059918385), (2, 0.03139302), (3, 0.101186864), (4, 0.04754509), (5, 0.06153505), (6, 0.030828707), (7, 0.031283226), (8, 0.08239947), (9, 0.10378971), (10, 0.043915153), (11, 0.03770976), (12, 0.031456076), (13, 0.11899989), (14, 0.03086395), (15, 0.03129314), (16, 0.031030161), (17, 0.031037569), (18, 0.03146016), (19, 0.031254973)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch year of birth  customer is yob is on  while watchperson yob is  as checked under external link in a online news article in year  she was  years old as such born in year .as such  both are not same person.  watchperson is external  link   for politics aside family still comes first for wong,0
82719,"mismatch profile
further investigation on pep’s savings account (alias bin razak 163064296809) noted there’s transfer to his son ahmad faruq azmi bin alias (gcif#018753930) and he was born on 15/03/1984. meanwhile customer only 15 years older than watchperson is son, hence it is highly unlikely watch person is the customer based on this fact.",1,mismatch profile investigation peps savings account alias razak noted theres transfer son ahmad faruq azmi alias gcif born  meanwhile customer years older watchpersons son hence highly unlikely watch person customer based fact ,"['mismatch', 'profile', 'investigation', 'pep', 'saving', 'account', 'alias_razak', 'note', 'there', 's', 'transfer', 'son', 'ahmad', 'faruq_azmi_alias', 'gcif', 'bear', 'meanwhile', 'customer', 'year', 'old', 'watchperson', 'son', 'hence', 'highly', 'unlikely', 'watch', 'person', 'customer', 'base', 'fact']","[(2, 1), (6, 1), (17, 2), (22, 1), (29, 1), (32, 1), (34, 1), (58, 1), (61, 1), (67, 1), (74, 1), (99, 1), (115, 1), (116, 1), (122, 1), (132, 2), (148, 1), (193, 1), (252, 1), (339, 1), (642, 1), (745, 1), (821, 1), (860, 1), (2081, 1), (4378, 1), (6256, 1), (28909, 1)]","[(2, 0.006840933373566643), (6, 0.05316976612706613), (17, 0.00918991179673676), (22, 0.021687010718237757), (29, 0.056577769771176456), (32, 0.019889209323890777), (34, 0.04113463112810622), (58, 0.0730753135839503), (61, 0.04163997052773036), (67, 0.09899307968286536), (74, 0.0638576124118171), (99, 0.0440940417965971), (115, 0.06348652561706082), (116, 0.20641537747446903), (122, 0.15600145029409374), (132, 0.27866637684212103), (148, 0.08952094807538034), (193, 0.12340667118103267), (252, 0.11916332040449439), (339, 0.2704889964934977), (642, 0.19774653964934324), (745, 0.32142234246018725), (821, 0.19860633824474158), (860, 0.1834778180329198), (2081, 0.3109770078767408), (4378, 0.3287920154860861), (6256, 0.3287920154860861), (28909, 0.4251009113846696)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.031007895), (1, 0.031760424), (2, 0.031163618), (3, 0.08667198), (4, 0.031336762), (5, 0.05990728), (6, 0.03181627), (7, 0.054723937), (8, 0.06298925), (9, 0.08504964), (10, 0.030630112), (11, 0.030751934), (12, 0.0655095), (13, 0.11522624), (14, 0.03134208), (15, 0.031044232), (16, 0.09583623), (17, 0.03079933), (18, 0.03124566), (19, 0.031187637)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch profile further investigation on peps savings account alias razak  noted theres transfer to his son ahmad faruq azmi alias gcif and he was born on . meanwhile customer only  years older than watchperson is son hence it is highly unlikely watch person is the customer based on this fact.,0
82938,"customer created in host on  07/10/2005. customer is information incomplete in host and no casa with us. if customer wish to  maintain same gcif number,  branch has to comply to process of activation act mal/bkgops/admin/123/1 issued on 27/08/2020 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.",1,customer created host  customers information incomplete host casa us  customer wish maintain gcif number branch comply process activation act malbkgopsadmin issued  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  name unique identifier conclusive evidence justify individual ,"['customer', 'create', 'host', 'customer', 'information', 'incomplete', 'host', 'casa_u', 'customer', 'wish_maintain_gcif', 'number', 'branch_comply_process', 'activation', 'act', 'malbkgopsadmin', 'issue', 'among_other', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'name', 'unique_identifier_conclusive', 'evidence', 'justify', 'individual']","[(4, 1), (9, 1), (17, 4), (20, 1), (91, 1), (181, 1), (216, 2), (575, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (695, 1), (782, 1), (783, 1), (784, 1), (787, 1), (788, 1), (789, 1), (791, 1), (793, 1), (795, 1), (796, 1), (1762, 1), (2873, 1), (2874, 1)]","[(4, 0.06935674989065435), (9, 0.058025598734092854), (17, 0.014347665750335057), (20, 0.12732480017729764), (91, 0.08574441599508284), (181, 0.09370482219871727), (216, 0.1862820585876498), (575, 0.170477096057309), (687, 0.22088365575024535), (688, 0.2201121335283825), (689, 0.15310044036004242), (690, 0.21965811581275468), (691, 0.21980873035572976), (692, 0.21847840133393898), (695, 0.22026493618458914), (782, 0.12064341619583446), (783, 0.22487469691871412), (784, 0.23577654757638083), (787, 0.10311046968478399), (788, 0.13668807873431396), (789, 0.23407052740795434), (791, 0.23454862271867868), (793, 0.23048611763582663), (795, 0.23479041460560915), (796, 0.24093409463922183), (1762, 0.1732859230853152), (2873, 0.25523804759196245), (2874, 0.24639348716204687)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.027443785), (1, 0.028615626), (2, 0.027408434), (3, 0.027564753), (4, 0.037819795), (5, 0.03850219), (6, 0.02785223), (7, 0.029849296), (8, 0.038021423), (9, 0.02740679), (10, 0.028322315), (11, 0.02740661), (12, 0.03081719), (13, 0.4300652), (14, 0.027835818), (15, 0.027408024), (16, 0.030037532), (17, 0.031562988), (18, 0.027408758), (19, 0.028651226)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",customer created in host on  . customer is information incomplete in host and no casa with us. if customer wish to  maintain same gcif number  branch has to comply to process of activation act malbkgopsadmin issued on  . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.,0
82996,customer gcif number was created on 23/02/1997 with a defaulted data. other than having same name with watch person there is no information available on customer that we can use to make further analysis. other than having gcif number in host customer does not have any product or facility with the bank. if customer bearing the same passport no to open account with the bank the person has to produce all original supporting document. fresh cdd /ecdd and screening will be done by branch/ business.,1,customer gcif number created defaulted data  name watch person information available customer use make analysis  gcif number host customer product facility bank  customer bearing passport open account bank person produce original supporting document  fresh cdd ecdd screening done branch business ,"['customer', 'gcif', 'number', 'create', 'defaulted_data', 'name', 'watch', 'person', 'information', 'available', 'customer', 'use', 'make', 'analysis', 'gcif', 'number', 'host', 'customer', 'product_facility', 'bank', 'customer', 'bear', 'passport', 'open', 'account', 'bank', 'person', 'produce_original_supporting', 'document', 'fresh_cdd_ecdd', 'screen', 'do', 'branch', 'business']","[(4, 2), (9, 1), (15, 2), (17, 4), (19, 1), (32, 2), (37, 1), (41, 1), (61, 1), (88, 1), (91, 1), (115, 1), (122, 2), (156, 1), (183, 1), (193, 1), (216, 1), (560, 1), (653, 1), (888, 1), (1762, 1), (2463, 1), (3501, 1), (3502, 1), (3503, 1), (3505, 1), (3506, 1)]","[(4, 0.16398653600952437), (9, 0.06859762713278976), (15, 0.17026027229058524), (17, 0.016961752172134123), (19, 0.12686270163561622), (32, 0.036709366413214775), (37, 0.14646717234423345), (41, 0.10970711640189876), (61, 0.03842729267527498), (88, 0.16166903060219034), (91, 0.10136670030935203), (115, 0.058588305176596224), (122, 0.2879307219598674), (156, 0.1704253921974467), (183, 0.08608745912220875), (193, 0.11388538972180305), (216, 0.11011094650727063), (560, 0.15291128202779813), (653, 0.18770539481754261), (888, 0.12052991058025957), (1762, 0.2048579144118947), (2463, 0.28810876860879026), (3501, 0.3171415997465466), (3502, 0.32759760316161), (3503, 0.30119680936193094), (3505, 0.30119680936193094), (3506, 0.33906759435084854)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.028866919), (1, 0.029227024), (2, 0.028603286), (3, 0.040959083), (4, 0.052037846), (5, 0.036154646), (6, 0.02976953), (7, 0.052736506), (8, 0.054311782), (9, 0.06527601), (10, 0.04338499), (11, 0.02858965), (12, 0.079451226), (13, 0.21656694), (14, 0.030005008), (15, 0.02859996), (16, 0.0390538), (17, 0.057850216), (18, 0.028606089), (19, 0.029949497)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",customer gcif number was created on  with a defaulted data. other than having same name with watch person there is no information available on customer that we can use to make further analysis. other than having gcif number in host customer does not have any product or facility with the bank. if customer bearing the same passport no to open account with the bank the person has to produce all original supporting document. fresh cdd ecdd and screening will be done by branch business.,0
83387,mismatch profile - watchperson ambassador extraordinary and plenipotentiary to finland (mar 2023 - ). ambassador extraordinary and plenipotentiary to sweden (aug 2022 - ). vs customer opened account on 20/02/2018 as a student at kolej multimedia in house with active account up to latest transaction recorded on 24-may-23,1,mismatch profile watchperson ambassador extraordinary plenipotentiary finland  ambassador extraordinary plenipotentiary sweden  vs customer opened account student kolej multimedia house active account latest transaction recorded,"['mismatch', 'profile', 'watchperson', 'ambassador_extraordinary_plenipotentiary_finland', 'ambassador_extraordinary_plenipotentiary_sweden', 'vs', 'customer', 'open', 'account', 'student', 'kolej', 'multimedia', 'house', 'active', 'account', 'late', 'transaction', 'record']","[(2, 1), (17, 1), (22, 1), (99, 1), (115, 2), (134, 1), (145, 1), (183, 1), (263, 1), (475, 1), (792, 1), (1641, 1), (1651, 1), (1653, 1), (12164, 1), (14798, 1), (29074, 1)]","[(2, 0.008679045940439598), (17, 0.005829589495832351), (22, 0.027514163938751862), (99, 0.05594181284253694), (115, 0.16108985202470733), (134, 0.10037483430864698), (145, 0.12122291047467286), (183, 0.1183496946137922), (263, 0.20462950188199514), (475, 0.10387725478362057), (792, 0.24224404948697187), (1641, 0.23915961531402963), (1651, 0.4305908302776845), (1653, 0.21862886165181744), (12164, 0.4039859323228824), (14798, 0.44603216818277525), (29074, 0.4091184343606262)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.034036826), (1, 0.033956114), (2, 0.034649465), (3, 0.034116637), (4, 0.0338992), (5, 0.058611635), (6, 0.06839054), (7, 0.03515573), (8, 0.06720983), (9, 0.03411965), (10, 0.033645768), (11, 0.048965085), (12, 0.03498269), (13, 0.14230262), (14, 0.1308893), (15, 0.037807524), (16, 0.034129936), (17, 0.03397826), (18, 0.034779202), (19, 0.034374002)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch profile watchperson ambassador extraordinary and plenipotentiary to finland   . ambassador extraordinary and plenipotentiary to sweden   . vs customer opened account on  as a student at kolej multimedia in house with active account up to latest transaction recorded on   ,0
