,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
52556,"match name & profile. customer is ultimate beneficiary owner of tanjung manis bulkers sdn. bhd. (ucif: 0000000015984517) located in kuching sarawak. as per many news in domain search, deputy premier datuk amar awang tengah ali hasan is related to tanjung manis bulker sdn bhd, and attend most of the company events. based on circumstances evidence, both are the same person. source: https://www.utusanborneo.com.my/2017/03/25/awang-tengah-rasmi-pobf-tanjung-manis,  https://www.utusanborneo.com.my/2017/03/25/berjaya-sebagai-usahawan-melalui-poic-tg-manis,  https://www.bharian.com.my/taxonomy/term/5/2015/08/72096/lebih-banyak-prasarana-di-tanjung-manis-menerusi-rmk-11",1,match name profile  customer ultimate beneficiary owner tang manis bulkers sdn  bhd  ucif located kuching sarawak  per many news domain search deputy premier datuk awang tengah ali hasan related tang manis bulker sdn bhd attend company events  based circumstances evidence person  tengah rasmi pobf tang manis sebagai usahawan melalui poic tg manis banyak prasarana di tang manis menerusi rmk,"['match', 'name', 'profile', 'customer', 'ultimate_beneficiary_owner', 'tang', 'manis', 'bulker', 'sdn', 'bhd', 'ucif', 'locate', 'kuching_sarawak', 'per', 'many', 'news', 'domain', 'search', 'deputy', 'premier', 'datuk', 'awang', 'tengah', 'ali', 'hasan', 'relate', 'tang', 'manis', 'bulker', 'sdn', 'bhd', 'attend', 'company', 'event', 'base', 'circumstance', 'evidence', 'person', 'tengah', 'rasmi', 'pobf', 'tang', 'manis', 'sebagai', 'usahawan', 'melalui', 'poic', 'tg', 'manis', 'banyak', 'prasarana', 'di', 'tang', 'manis', 'menerusi', 'rmk']","[(9, 1), (14, 1), (17, 1), (32, 1), (49, 1), (74, 1), (96, 1), (99, 1), (120, 1), (129, 1), (135, 1), (170, 2), (202, 2), (209, 1), (248, 1), (257, 1), (327, 1), (433, 2), (601, 1), (701, 1), (707, 1), (711, 1), (756, 4), (757, 1), (787, 1), (1143, 1), (1221, 1), (1375, 1), (1532, 1), (1859, 1), (2260, 1), (3172, 1), (4998, 1), (5013, 1), (5977, 1), (6770, 1), (7234, 1), (20982, 1), (20983, 1), (20984, 2), (20985, 5), (20986, 1), (20987, 1), (20988, 1), (20989, 1)]","[(9, 0.02301076307376897), (14, 0.030736621727715994), (17, 0.0014224357199463507), (32, 0.006156995281247014), (49, 0.015115392342271886), (74, 0.019768056733104236), (96, 0.05176878458461916), (99, 0.013649954749415247), (120, 0.07873630163030275), (129, 0.04210801322688011), (135, 0.06080090527946304), (170, 0.20243555839775293), (202, 0.047584671258003926), (209, 0.03144591893400005), (248, 0.09475242708229303), (257, 0.04008863914193858), (327, 0.06287868640648965), (433, 0.04867904745570637), (601, 0.12192127051512362), (701, 0.052076702308091416), (707, 0.10481754544288502), (711, 0.10050255587283276), (756, 0.3561480337735298), (757, 0.10278394581176252), (787, 0.0408897217797695), (1143, 0.1036472537257361), (1221, 0.045938128777756694), (1375, 0.06378750290364059), (1532, 0.09614419363669072), (1859, 0.08896768415726379), (2260, 0.129667309144319), (3172, 0.08085998805542538), (4998, 0.11478204176617687), (5013, 0.11277567392303557), (5977, 0.09263677468739098), (6770, 0.11188150778962848), (7234, 0.11188150778962848), (20982, 0.11592037177593893), (20983, 0.1315961968536014), (20984, 0.30803297205635155), (20985, 0.6399821530479645), (20986, 0.15401648602817578), (20987, 0.15401648602817578), (20988, 0.15401648602817578), (20989, 0.14534313422198147)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.031213626), (1, 0.06212464), (2, 0.15326291), (3, 0.030703278), (4, 0.030913217), (5, 0.054465506), (6, 0.051428065), (7, 0.032371417), (8, 0.03081645), (9, 0.12120118), (10, 0.0333251), (11, 0.031416204), (12, 0.062346675), (13, 0.033048436), (14, 0.04123401), (15, 0.032247122), (16, 0.040024456), (17, 0.03367145), (18, 0.06197103), (19, 0.03221526)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","match name & profile. customer is ultimate beneficiary owner of tanjung manis bulkers sdn. bhd. (ucif: 0000000015984517) located in kuching sarawak. as per many news in domain search, deputy premier datuk amar awang tengah ali hasan is related to tanjung manis bulker sdn bhd, and attend most of the company events. based on circumstances evidence, both are the same person. source: https://www.utusanborneo.com.my/2017/03/25/awang tengah rasmi pobf tanjung manis,  https://www.utusanborneo.com.my/2017/03/25/berjaya sebagai usahawan melalui poic tg manis,  https://www.bharian.com.my/taxonomy/term/5/2015/08/72096/lebih banyak prasarana di tanjung manis menerusi rmk 11",-1
52885,"match - name, nric, date of birth

customer
name  : muhammad ali bin amil
nric  : 861027495379
date of birth : 27/10/1986

watch person 
name  : muhammad ali bin amil
nric  : 861027495379
date of birth : 27/10/1986",1,match name nric date birth customer name muhammad ali amil nric date birth watch person name muhammad ali amil nric date birth,"['match', 'name', 'nric', 'date', 'birth', 'customer', 'name', 'muhammad', 'ali', 'amil', 'nric', 'date', 'birth', 'watch', 'person', 'name', 'muhammad', 'ali', 'amil', 'nric', 'date', 'birth']","[(3, 3), (5, 3), (9, 3), (12, 3), (14, 1), (17, 1), (32, 1), (61, 1), (126, 2), (327, 2), (21129, 2)]","[(3, 0.2206461394578237), (5, 0.15199136733835006), (9, 0.18925462948620736), (12, 0.2166693766913886), (14, 0.08426560993925666), (17, 0.0038996612771071693), (32, 0.016879635223527797), (61, 0.0353391380109946), (126, 0.2878239919357124), (327, 0.34476858967518187), (21129, 0.7969273893659368)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.036375254), (1, 0.037700556), (2, 0.12501983), (3, 0.03720444), (4, 0.11171743), (5, 0.03607913), (6, 0.0360282), (7, 0.03609116), (8, 0.03618351), (9, 0.036893647), (10, 0.036037486), (11, 0.03601605), (12, 0.036503427), (13, 0.03615766), (14, 0.036015786), (15, 0.03610574), (16, 0.112617165), (17, 0.06693136), (18, 0.036189534), (19, 0.038132608)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","match name, nric, date of birth  customer name  : muhammad ali bin amil nric  : 861027495379 date of birth : 27/10/1986  watch person  name  : muhammad ali bin amil nric  : 861027495379 date of birth : 27/10/1986",-1
53007,"mismatch profile.
watchperson is a member of regional house of representatives for kubu raya regency (jul 2023 - ). member of partai amanat nasional. vs customer had opened account on 28/09/2016 as gardeners, horticultural and nursery growers at tradewinds-ldg sisek. based on apex (151071567221), customer has active transaction in malaysia since 03-nov-16 until 19-sep-23. hence, it is highly unlikely the customer and watchperson is the same person.",1,mismatch profile  watchperson member regional house representatives kubu raya regency  member partai amanat nasional  vs customer opened account gardeners horticultural nursery growers tradewinds ldg sisek  based apex customer active transaction malaysia since  hence highly unlikely customer watchperson person ,"['mismatch', 'profile', 'watchperson', 'member', 'regional', 'house', 'representatives', 'kubu_raya_regency', 'member_partai_amanat', 'nasional', 'vs', 'customer', 'open', 'account', 'gardeners_horticultural_nursery_grower', 'tradewind', 'ldg', 'sisek', 'base', 'apex', 'customer', 'active', 'transaction', 'malaysia', 'since', 'hence', 'highly', 'unlikely', 'customer', 'watchperson', 'person']","[(2, 1), (17, 3), (22, 2), (29, 1), (32, 1), (34, 1), (58, 1), (74, 1), (99, 1), (115, 1), (117, 1), (134, 1), (142, 1), (145, 1), (164, 1), (183, 1), (263, 1), (270, 1), (475, 1), (530, 1), (619, 1), (1950, 1), (2842, 1), (3306, 1), (3679, 1), (3680, 1), (8398, 1), (21153, 1)]","[(2, 0.00710420553698404), (17, 0.014315375995995196), (22, 0.04504326331271087), (29, 0.05875515566804027), (32, 0.02065464217952933), (34, 0.04271769044722175), (58, 0.07588760466311642), (74, 0.0663151618209796), (99, 0.04579099353456657), (115, 0.06592979381371383), (117, 0.07941634261471263), (134, 0.08216150237744074), (142, 0.07235032500203957), (145, 0.09922662902276005), (164, 0.0804118285583215), (183, 0.09687476728958148), (263, 0.16749882997240176), (270, 0.21915898667005485), (475, 0.08502839755254492), (530, 0.1997862695909224), (619, 0.09839107159800649), (1950, 0.16890496104968314), (2842, 0.30389647330454655), (3306, 0.36078911399123886), (3679, 0.35081239497357136), (3680, 0.3237844713825417), (8398, 0.3306814040353511), (21153, 0.4584810160810261)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.0313366), (1, 0.031595927), (2, 0.1786733), (3, 0.032282006), (4, 0.031424724), (5, 0.045564972), (6, 0.16215585), (7, 0.0318953), (8, 0.06133565), (9, 0.06654648), (10, 0.031044418), (11, 0.042249434), (12, 0.032064915), (13, 0.031750873), (14, 0.031984765), (15, 0.03157615), (16, 0.03136885), (17, 0.031328406), (18, 0.0318088), (19, 0.032012552)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile. watchperson is a member of regional house of representatives for kubu raya regency (jul 2023 ). member of partai amanat nasional. vs customer had opened account on 28/09/2016 as gardeners, horticultural and nursery growers at tradewinds ldg sisek. based on apex (151071567221), customer has active transaction in malaysia since 03 nov 16 until 19 sep 23. hence, it is highly unlikely the customer and watchperson is the same person.",-1
53396,"mismatch date of birth (dob)
customer: 01/04/1974
watchperson: pakistan citizen (id: fh5757243) and born on 19/11/1992 as per fomema
link: https://eservices.imi.gov.my/myimms/fomemastatus",1,mismatch date birth dob customer watchperson pakistan citizen id fh born per fomema link,"['mismatch', 'date', 'birth', 'dob', 'customer', 'watchperson', 'pakistan', 'citizen', 'i', 'd', 'fh', 'bear', 'per', 'fomema', 'link']","[(0, 1), (1, 1), (2, 1), (5, 1), (12, 1), (13, 1), (17, 1), (22, 1), (49, 1), (193, 1), (264, 1), (1444, 1), (1624, 1), (1689, 1), (3437, 1)]","[(0, 0.18487915515189687), (1, 0.18495537356438613), (2, 0.011768304379118797), (5, 0.10269532191421286), (12, 0.1463960208920346), (13, 0.1816227597717479), (17, 0.007904599660270257), (22, 0.0373076785386627), (49, 0.08399755679510101), (193, 0.2122937309233059), (264, 0.21426211230329406), (1444, 0.4643120139215762), (1624, 0.39965627293269196), (1689, 0.3177202034685377), (3437, 0.5392254049199589)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.05369079), (1, 0.03324856), (2, 0.12848912), (3, 0.06440846), (4, 0.10392643), (5, 0.033267774), (6, 0.03321391), (7, 0.0331033), (8, 0.033376995), (9, 0.11618212), (10, 0.03306655), (11, 0.03416043), (12, 0.03303386), (13, 0.033038672), (14, 0.03318167), (15, 0.033036806), (16, 0.03343364), (17, 0.033212837), (18, 0.03303997), (19, 0.06788809)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch date of birth (dob) customer: 01/04/1974 watchperson: pakistan citizen (id: fh5757243) and born on 19/11/1992 as per fomema link: https://eservices.imi.gov.my/myimms/fomemastatus,0
54161,"mismatch profile. watchperson is the director of malaysian anti-corruption commission for sarawak (reported oct 2022 - ) whereas customer is a recipient of bantuan kerajaan malaysia (bkm), a stimulus package for lower income citizen in 2022 and 2023 as per apex (162348479705). it is unlikely that watchperson would become a recipient of bkm. therefore, they are very unlikely to be the same person",1,mismatch profile  watchperson director malaysian anti corruption commission sarawak reported whereas customer recipient bantuan kerajaan malaysia bkm stimulus package lower income citizen per apex  unlikely watchperson would become recipient bkm  therefore unlikely person,"['mismatch', 'profile', 'watchperson', 'director', 'malaysian', 'anti', 'corruption', 'commission', 'sarawak', 'report', 'whereas', 'customer', 'recipient_bantuan_kerajaan', 'malaysia', 'bkm_stimulus_package', 'low', 'income', 'citizen', 'per', 'apex', 'unlikely', 'watchperson', 'would', 'become', 'recipient', 'bkm', 'therefore', 'unlikely', 'person']","[(2, 1), (17, 1), (22, 2), (32, 1), (34, 2), (49, 1), (99, 1), (117, 1), (142, 1), (167, 1), (210, 1), (289, 1), (326, 1), (361, 1), (507, 1), (828, 1), (956, 1), (1211, 1), (1214, 1), (1444, 1), (1837, 1), (2407, 1), (3797, 1), (3907, 1), (4051, 1), (8859, 1), (8860, 1)]","[(2, 0.007437465459066003), (17, 0.004995637863116443), (22, 0.047156253195079066), (32, 0.02162355621327264), (34, 0.08944317433900259), (49, 0.053085721373589925), (99, 0.047939059614290916), (117, 0.08314178158378972), (142, 0.07574429545338161), (167, 0.06907125242771904), (210, 0.10078773983297548), (289, 0.13660313638396562), (326, 0.12709444981576956), (361, 0.25920878481253595), (507, 0.19256778346323522), (828, 0.1207271309364899), (956, 0.19730385560727862), (1211, 0.1877350012280883), (1214, 0.18644649714423325), (1444, 0.2934411325983801), (1837, 0.22497512935456904), (2407, 0.24034267911862534), (3797, 0.3078513429689522), (3907, 0.22140912100928284), (4051, 0.2618910708329943), (8859, 0.3810530947537622), (8860, 0.376654822537407)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.029147947), (1, 0.029282728), (2, 0.13086453), (3, 0.030830033), (4, 0.029508093), (5, 0.03313154), (6, 0.10873381), (7, 0.029133318), (8, 0.11754518), (9, 0.029195989), (10, 0.029207744), (11, 0.02989136), (12, 0.029353593), (13, 0.029113712), (14, 0.12510274), (15, 0.047548085), (16, 0.029959524), (17, 0.029205408), (18, 0.054134123), (19, 0.029110527)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile. watchperson is the director of malaysian anti corruption commission for sarawak (reported oct 2022 ) whereas customer is a recipient of bantuan kerajaan malaysia (bkm), a stimulus package for lower income citizen in 2022 and 2023 as per apex (162348479705). it is unlikely that watchperson would become a recipient of bkm. therefore, they are very unlikely to be the same person",0
54320,"mismatch - profile/occupation, location,  

customer - (as per host system based on nric number ar237020)
profile/occupation : working as building architects at putra perdana construction sdn bhd
location : putrajaya wp

watch person - 
profile/occupation : is a director of finance of perusahaan umum daerah air minum tirta mahameru (soe) (dec 2020 - ).
location : lumajang, east java indonesia.",1,mismatch profileoccupation location customer per host based nric number ar profileoccupation working building architects putra perdana construction sdn bhd location putrajaya wp watch person profileoccupation director finance perusahaan umum daerah air minum tirta mahameru soe  location lumag east java indonesia ,"['mismatch', 'location', 'customer', 'per', 'host', 'base', 'nric', 'number', 'ar', 'work', 'building_architect', 'putra', 'perdana', 'construction', 'sdn', 'bhd', 'location', 'putrajaya', 'wp', 'watch', 'person', 'director', 'finance_perusahaan_umum', 'daerah_air_minum_tirta', 'mahameru', 'soe', 'location', 'lumag', 'east_java', 'indonesia']","[(2, 1), (3, 1), (4, 1), (17, 1), (32, 1), (49, 1), (61, 1), (69, 1), (74, 1), (103, 1), (199, 1), (202, 1), (210, 1), (216, 1), (226, 1), (308, 3), (433, 1), (1167, 1), (2697, 1), (3098, 1), (4456, 1), (5161, 1), (5845, 1), (13931, 1), (16466, 1), (21507, 1), (21508, 1), (21509, 1)]","[(2, 0.005616142596873252), (3, 0.07114629773098856), (4, 0.07294097887730855), (17, 0.003772281667191019), (32, 0.016328274169960893), (49, 0.040085830681545545), (61, 0.034184810674659186), (69, 0.05722253306713406), (74, 0.052424638220624584), (103, 0.10597334704650557), (199, 0.26699564009733334), (202, 0.06309697531803048), (210, 0.07610634590962333), (216, 0.09795438599765045), (226, 0.08854717564367856), (308, 0.305906438126424), (433, 0.06454811128491933), (1167, 0.14994827083343404), (2697, 0.2028249821789037), (3098, 0.1594399102071006), (4456, 0.22685618814417954), (5161, 0.2694189297804798), (5845, 0.21884343071711002), (13931, 0.2754691472501757), (16466, 0.2955833536679813), (21507, 0.3016335711376772), (21508, 0.3016335711376772), (21509, 0.4084497868987586)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.030998396), (1, 0.03108906), (2, 0.15190583), (3, 0.031065576), (4, 0.04517544), (5, 0.1495781), (6, 0.03913355), (7, 0.031232007), (8, 0.030619552), (9, 0.030814376), (10, 0.030467173), (11, 0.031274628), (12, 0.048136216), (13, 0.06679777), (14, 0.057745107), (15, 0.034409977), (16, 0.030859103), (17, 0.03088654), (18, 0.03210673), (19, 0.065704875)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile/occupation, location,    customer (as per host system based on nric number ar237020) profile/occupation : working as building architects at putra perdana construction sdn bhd location : putrajaya wp  watch person profile/occupation : is a director of finance of perusahaan umum daerah air minum tirta mahameru (soe) (dec 2020 ). location : lumajang, east java indonesia.",0
54361,"mismatch occupation - watchperson director of finance of perusahaan umum daerah air minum tirta mahameru (soe) (dec 2020 - ). vs customer gardeners, horticultural and nursery growers updated 05/10/2022",1,mismatch occupation watchperson director finance perusahaan umum daerah air minum tirta mahameru soe  vs customer gardeners horticultural nursery growers updated,"['mismatch', 'occupation', 'watchperson', 'director', 'finance_perusahaan_umum', 'daerah_air_minum_tirta', 'mahameru', 'soe', 'vs', 'customer', 'gardeners_horticultural_nursery_grower', 'update']","[(2, 1), (17, 1), (22, 1), (145, 1), (210, 1), (226, 1), (232, 1), (530, 1), (1059, 1), (5845, 1), (21507, 1), (21508, 1)]","[(2, 0.010385327768138117), (17, 0.006975674294546656), (22, 0.03292338959041748), (145, 0.14505507482350938), (210, 0.14073527049451695), (226, 0.16374075731525659), (232, 0.1467749254726493), (530, 0.2920588210002962), (1059, 0.19559496850989228), (5845, 0.40468359175323587), (21507, 0.5577784837377199), (21508, 0.5577784837377199)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.037371065), (1, 0.03726766), (2, 0.17660438), (3, 0.03779913), (4, 0.037319884), (5, 0.036738113), (6, 0.04320504), (7, 0.038044684), (8, 0.037185904), (9, 0.037564084), (10, 0.036767717), (11, 0.05799701), (12, 0.037514422), (13, 0.03852796), (14, 0.11903045), (15, 0.038090326), (16, 0.037312806), (17, 0.037275314), (18, 0.04045371), (19, 0.03793035)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch occupation watchperson director of finance of perusahaan umum daerah air minum tirta mahameru (soe) (dec 2020 ). vs customer gardeners, horticultural and nursery growers updated 05/10/2022",-1
54682,"
mismatch date of birth (dob)
watch person dob is 11/06/1997 as per fomema status. 09318529 - npl
(https://eservices.imi.gov.my/myimms/fomemastatus)
",1,mismatch date birth dob watch person dob per fomema status  npl,"['mismatch', 'date', 'birth', 'dob', 'watch', 'person', 'dob', 'per', 'fomema', 'status', 'npl']","[(2, 1), (5, 1), (12, 1), (13, 2), (32, 1), (49, 1), (61, 1), (620, 1), (1624, 1), (5090, 1)]","[(2, 0.013037467694687067), (5, 0.1137705907936666), (12, 0.1621842307543673), (13, 0.4024200576160455), (32, 0.03790490418091904), (49, 0.09305634846528105), (61, 0.07935755852566738), (620, 0.35849002444683875), (1624, 0.4427575612833672), (5090, 0.6765333739603552)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.09153176), (1, 0.036404323), (2, 0.16836575), (3, 0.040462784), (4, 0.07656423), (5, 0.036571305), (6, 0.036235627), (7, 0.07940659), (8, 0.03601989), (9, 0.035832606), (10, 0.035843033), (11, 0.03855325), (12, 0.03583409), (13, 0.035843495), (14, 0.036190215), (15, 0.035840176), (16, 0.03658845), (17, 0.036229428), (18, 0.03584418), (19, 0.035838787)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']", mismatch date of birth (dob) watch person dob is 11/06/1997 as per fomema status. 09318529 npl (https://eservices.imi.gov.my/myimms/fomemastatus) ,0
54686,"match entity full legal name, identification no & date of incorporation.
",1,match entity full name identification date incorporation ,"['match', 'entity', 'full', 'name', 'identification', 'date', 'incorporation']","[(8, 1), (9, 1), (12, 1), (14, 1), (24, 1), (571, 1), (1657, 1)]","[(8, 0.20950263949334455), (9, 0.14653798096794024), (12, 0.16776494759538813), (14, 0.19573807593061682), (24, 0.4332026992564329), (571, 0.49669487896325154), (1657, 0.6586398186695664)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.036930215), (1, 0.037968166), (2, 0.11520819), (3, 0.036118485), (4, 0.055510506), (5, 0.03611802), (6, 0.036117096), (7, 0.03612318), (8, 0.036118165), (9, 0.03612188), (10, 0.036118053), (11, 0.036120452), (12, 0.101968855), (13, 0.0361247), (14, 0.036117814), (15, 0.036126498), (16, 0.03611981), (17, 0.09454549), (18, 0.036125313), (19, 0.08829911)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","match entity full legal name, identification no & date of incorporation. ",0
55258,match photo - comparison was made between customer is nric and https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/6239336/source/https%3a%2f%2fwww.straitstimes.com%2fsingapore%2fcourts-crime%2fex-employee-misappropriated-over-25000-defective-iphones-from-firm-causing-over-6m-loss. it is the same person. ,1,match photo comparison made customers nric worldcheckrefinitivcomfspprofilevhttpsaff crimefex employee misappropriated defective iphones firm causing loss  person ,"['match', 'photo', 'comparison', 'make', 'customer', 'nric', 'crimefex', 'employee', 'misappropriate', 'defective', 'iphone', 'firm', 'causing_loss', 'person']","[(3, 1), (14, 1), (16, 1), (17, 1), (19, 1), (32, 1), (628, 1), (1464, 1), (4102, 1), (9056, 1), (21597, 1), (21801, 1), (21802, 1), (21803, 1)]","[(3, 0.07595743312649769), (14, 0.08702530822726809), (16, 0.13610774495716904), (17, 0.0040273751636857496), (19, 0.12048842326672715), (32, 0.017432443189460835), (628, 0.17141271719381418), (1464, 0.22371427066599173), (4102, 0.2916100122977135), (9056, 0.3167727015212034), (21597, 0.3725913567916337), (21801, 0.4360704402525994), (21802, 0.4360704402525994), (21803, 0.41151337861504905)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.03757251), (1, 0.03793265), (2, 0.112587616), (3, 0.036671948), (4, 0.04749458), (5, 0.036262985), (6, 0.03585429), (7, 0.039169855), (8, 0.03672178), (9, 0.06554173), (10, 0.036149077), (11, 0.03732259), (12, 0.084719196), (13, 0.040086642), (14, 0.06887087), (15, 0.045844417), (16, 0.07804572), (17, 0.04402425), (18, 0.04044042), (19, 0.038686857)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",match photo comparison was made between customer is nric and https://wc1 worldcheck.refinitiv.com/fsp/profile/v1/6239336/source/https%3a%2f%2fwww.straitstimes.com%2fsingapore%2fcourts crime%2fex employee misappropriated over 25000 defective iphones from firm causing over 6m loss. it is the same person. ,0
